,Product Name,Region Name,Month Name,Revenue
263,Product 6,Region 2,Dec 2022,9991
264,Product 6,Region 3,Jan 2022,9859
265,Product 6,Region 3,Feb 2022,23854
266,Product 6,Region 3,Mar 2022,22648
267,Product 6,Region 3,Apr 2022,13703
268,Product 6,Region 3,May 2022,24370
269,Product 6,Region 3,Jun 2022,2210
270,Product 6,Region 3,Jul 2022,15974
271,Product 6,Region 3,Aug 2022,12383
272,Product 6,Region 3,Sep 2022,15202
273,Product 6,Region 3,Oct 2022,3670
274,Product 6,Region 3,Nov 2022,3540
275,Product 6,Region 3,Dec 2022,8225
276,Product 6,Region 4,Jan 2022,9690
277,Product 6,Region 4,Feb 2022,22860
278,Product 6,Region 4,Mar 2022,2964
279,Product 6,Region 4,Apr 2022,15887
280,Product 6,Region 4,May 2022,5005
281,Product 6,Region 4,Jun 2022,4019
282,Product 6,Region 4,Jul 2022,23173
283,Product 6,Region 4,Aug 2022,19414
284,Product 6,Region 4,Sep 2022,16222
285,Product 6,Region 4,Oct 2022,18522
286,Product 6,Region 4,Nov 2022,18204
287,Product 6,Region 4,Dec 2022,11934
288,Product 7,Region 1,Jan 2022,8027
289,Product 7,Region 1,Feb 2022,7833
290,Product 7,Region 1,Mar 2022,4199
291,Product 7,Region 1,Apr 2022,16992
292,Product 7,Region 1,May 2022,15603
293,Product 7,Region 1,Jun 2022,3777
294,Product 7,Region 1,Jul 2022,22579
295,Product 7,Region 1,Aug 2022,1012
296,Product 7,Region 1,Sep 2022,4456
297,Product 7,Region 1,Oct 2022,5746
298,Product 7,Region 1,Nov 2022,15163
299,Product 7,Region 1,Dec 2022,19179
300,Product 7,Region 2,Jan 2022,17887
301,Product 7,Region 2,Feb 2022,3783
302,Product 7,Region 2,Mar 2022,6732
303,Product 7,Region 2,Apr 2022,3323
304,Product 7,Region 2,May 2022,9033
305,Product 7,Region 2,Jun 2022,22508
306,Product 7,Region 2,Jul 2022,4945
307,Product 7,Region 2,Aug 2022,22241
308,Product 7,Region 2,Sep 2022,3947
309,Product 7,Region 2,Oct 2022,3288
310,Product 7,Region 2,Nov 2022,4162
311,Product 7,Region 2,Dec 2022,17967
312,Product 7,Region 3,Jan 2022,23434
313,Product 7,Region 3,Feb 2022,22386
314,Product 7,Region 3,Mar 2022,2454
315,Product 7,Region 3,Apr 2022,19209
316,Product 7,Region 3,May 2022,15595
317,Product 7,Region 3,Jun 2022,8476
318,Product 7,Region 3,Jul 2022,24472
319,Product 7,Region 3,Aug 2022,22098
320,Product 7,Region 3,Sep 2022,8053
321,Product 7,Region 3,Oct 2022,10342
322,Product 7,Region 3,Nov 2022,21626
323,Product 7,Region 3,Dec 2022,2955
324,Product 7,Region 4,Jan 2022,17919
325,Product 7,Region 4,Feb 2022,22439
326,Product 7,Region 4,Mar 2022,24950
327,Product 7,Region 4,Apr 2022,14308
328,Product 7,Region 4,May 2022,24383
329,Product 7,Region 4,Jun 2022,20909
330,Product 7,Region 4,Jul 2022,9282
331,Product 7,Region 4,Aug 2022,14803
332,Product 7,Region 4,Sep 2022,13679
333,Product 7,Region 4,Oct 2022,18069
334,Product 7,Region 4,Nov 2022,7561
335,Product 7,Region 4,Dec 2022,19629
336,Product 8,Region 1,Jan 2022,21533
337,Product 8,Region 1,Feb 2022,4219
338,Product 8,Region 1,Mar 2022,16508
339,Product 8,Region 1,Apr 2022,8453
340,Product 8,Region 1,May 2022,8444
341,Product 8,Region 1,Jun 2022,10129
342,Product 8,Region 1,Jul 2022,11746
343,Product 8,Region 1,Aug 2022,9248
344,Product 8,Region 1,Sep 2022,19539
345,Product 8,Region 1,Oct 2022,1389
346,Product 8,Region 1,Nov 2022,13005
347,Product 8,Region 1,Dec 2022,12133
348,Product 8,Region 2,Jan 2022,18956
349,Product 8,Region 2,Feb 2022,15837
350,Product 8,Region 2,Mar 2022,19066
351,Product 8,Region 2,Apr 2022,16827
352,Product 8,Region 2,May 2022,5031
353,Product 8,Region 2,Jun 2022,6218
354,Product 8,Region 2,Jul 2022,23518
355,Product 8,Region 2,Aug 2022,5765
356,Product 8,Region 2,Sep 2022,20616
357,Product 8,Region 2,Oct 2022,10986
358,Product 8,Region 2,Nov 2022,5815
359,Product 8,Region 2,Dec 2022,8577
360,Product 8,Region 3,Jan 2022,2013
361,Product 8,Region 3,Feb 2022,2766
362,Product 8,Region 3,Mar 2022,22952
363,Product 8,Region 3,Apr 2022,17178
364,Product 8,Region 3,May 2022,24791
365,Product 8,Region 3,Jun 2022,4211
366,Product 8,Region 3,Jul 2022,17977
367,Product 8,Region 3,Aug 2022,23737
368,Product 8,Region 3,Sep 2022,10217
369,Product 8,Region 3,Oct 2022,9894
370,Product 8,Region 3,Nov 2022,23547
371,Product 8,Region 3,Dec 2022,22283
372,Product 8,Region 4,Jan 2022,14283
373,Product 8,Region 4,Feb 2022,1502
374,Product 8,Region 4,Mar 2022,1526
375,Product 8,Region 4,Apr 2022,8013
376,Product 8,Region 4,May 2022,17803
377,Product 8,Region 4,Jun 2022,6111
378,Product 8,Region 4,Jul 2022,22002
379,Product 8,Region 4,Aug 2022,9111
380,Product 8,Region 4,Sep 2022,10825
381,Product 8,Region 4,Oct 2022,21264
382,Product 8,Region 4,Nov 2022,17255
383,Product 8,Region 4,Dec 2022,18100
384,Product 9,Region 1,Jan 2022,10049
385,Product 9,Region 1,Feb 2022,3924
386,Product 9,Region 1,Mar 2022,20077
387,Product 9,Region 1,Apr 2022,20373
388,Product 9,Region 1,May 2022,19548
389,Product 9,Region 1,Jun 2022,11448
390,Product 9,Region 1,Jul 2022,14003
391,Product 9,Region 1,Aug 2022,8577
392,Product 9,Region 1,Sep 2022,19311
393,Product 9,Region 1,Oct 2022,3414
394,Product 9,Region 1,Nov 2022,17506
395,Product 9,Region 1,Dec 2022,19755
396,Product 9,Region 2,Jan 2022,18254
397,Product 9,Region 2,Feb 2022,18965
398,Product 9,Region 2,Mar 2022,15942
399,Product 9,Region 2,Apr 2022,7650
400,Product 9,Region 2,May 2022,1583
401,Product 9,Region 2,Jun 2022,21877
402,Product 9,Region 2,Jul 2022,12023
403,Product 9,Region 2,Aug 2022,9137
404,Product 9,Region 2,Sep 2022,18215
405,Product 9,Region 2,Oct 2022,18437
406,Product 9,Region 2,Nov 2022,22031
407,Product 9,Region 2,Dec 2022,1939
408,Product 9,Region 3,Jan 2022,4312
409,Product 9,Region 3,Feb 2022,15166
410,Product 9,Region 3,Mar 2022,10729
411,Product 9,Region 3,Apr 2022,22274
412,Product 9,Region 3,May 2022,11951
413,Product 9,Region 3,Jun 2022,5151
414,Product 9,Region 3,Jul 2022,15848
415,Product 9,Region 3,Aug 2022,18194
416,Product 9,Region 3,Sep 2022,9355
417,Product 9,Region 3,Oct 2022,18248
418,Product 9,Region 3,Nov 2022,22035
419,Product 9,Region 3,Dec 2022,17426
420,Product 9,Region 4,Jan 2022,24329
421,Product 9,Region 4,Feb 2022,23709
422,Product 9,Region 4,Mar 2022,14906
423,Product 9,Region 4,Apr 2022,17360
424,Product 9,Region 4,May 2022,4954
425,Product 9,Region 4,Jun 2022,9639
426,Product 9,Region 4,Jul 2022,9873
427,Product 9,Region 4,Aug 2022,8444
428,Product 9,Region 4,Sep 2022,20750
429,Product 9,Region 4,Oct 2022,18445
430,Product 9,Region 4,Nov 2022,23259
431,Product 9,Region 4,Dec 2022,19922
